SNname,HostName,redshift,type,data_file,download_url
CSS140914, ,0.03,Ia,CSS140914_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/CSS140914_uvotB15.1.dat
Gaia16alf, ,0.094,Ia,Gaia16alf_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/Gaia16alf_uvotB25.0.dat
Gaia16alf, ,0.094,Ia,Gaia16alf_uvotB25.0.nosub.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/Gaia16alf_uvotB25.0.nosub.dat
LSQ11ot,CGCG 421-013,0.026,Ia,LSQ11ot_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/LSQ11ot_uvotB15.1.dat
LSQ12gdj,ESO 472-G007,0.0303,Ia-SC,LSQ12gdj_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/LSQ12gdj_uvotB15.1.dat
LSQ13crf, ,0.06,Ia,LSQ13crf_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/LSQ13crf_uvotB15.1.dat
LSQ13ry, ,0.029857,Ia,LSQ13ry_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/LSQ13ry_uvotB15.1.dat
PS1-14xw,NGC 6240,0.02448,Ia,PS1-14xw_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/PS1-14xw_uvotB15.1.dat
PS15cku,2MASX J01242239+0335168,0.023,Ia,PS15cku_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/PS15cku_uvotB15.1.dat
PTF09dlc,GALEXASC J214630.04+062506.6,0.068,Ia,PTF09dlc_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/PTF09dlc_uvotB15.1.dat
PTF09dnl,SDSS J172341.69+302950.9,0.019,Ia,PTF09dnl_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/PTF09dnl_uvotB15.1.dat
PTF09dnp,WISEA J151925.36+493004.8,0.037,Ia,PTF09dnp_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/PTF09dnp_uvotB15.1.dat
PTF10icb,MCG +10-19-01,0.008606,Ia,PTF10icb_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/PTF10icb_uvotB15.1.dat
PTF10mwb,WISEA J171750.10+405252.4,0.03,Ia,PTF10mwb_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/PTF10mwb_uvotB25.0.dat
SN2005am,NGC 2811,0.0079,Ia,SN2005am_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2005am_uvotB15.1.dat
SN2005bc,NGC 5698,0.01227,Ia,SN2005bc_uvotB25.0.nosub.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2005bc_uvotB25.0.nosub.dat
SN2005cf,MCG -01-39-03,0.00646,Ia,SN2005cf_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2005cf_uvotB15.1.dat
SN2005df,NGC 1559,0.00435,Ia,SN2005df_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2005df_uvotB15.1.dat
SN2005gj,SDSS J030111.99-003313.5,0.062,Ia-CSM,SN2005gj_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2005gj_uvotB15.1.dat
SN2005hk,UGC 272,0.01299,Ia-02cx,SN2005hk_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2005hk_uvotB15.1.dat
SN2005ke,NGC 1371,0.00488,Ia-91bg,SN2005ke_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2005ke_uvotB15.1.dat
SN2005mz,NGC 1275,0.01756,Ia-91bg,SN2005mz_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2005mz_uvotB15.1.dat
SN2006E,NGC 5338,0.00272,Ia,SN2006E_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2006E_uvotB15.1.dat
