SNname,HostName,redshift,type,data_file,download_url
SN2013fw,NGC 7042,0.01695,Ia,SN2013fw_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013fw_uvotB15.1.dat
SN2013fy,ESO 287-G40,0.03,Ia,SN2013fy_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013fy_uvotB15.1.dat
SN2013gh,NGC 7183,0.0088,Ia,SN2013gh_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013gh_uvotB15.1.dat
SN2013gs,UGC 5066,0.016888,Ia,SN2013gs_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013gs_uvotB15.1.dat
SN2013gy,NGC 1418,0.014023,Ia,SN2013gy_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013gy_uvotB15.1.dat
SN2013hh,UGC 6483,0.012989,Ia-91T,SN2013hh_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013hh_uvotB15.1.dat
SN2013hn,IC 4329,0.01514,Ia,SN2013hn_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2013hn_uvotB15.1.dat
SN2014I,ESO 487-G36,0.03,Ia,SN2014I_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014I_uvotB15.1.dat
SN2014J,NGC 3034,0.000677,Ia,SN2014J_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014J_uvotB15.1.dat
SN2014R,UGC 5055,0.025,Ia,SN2014R_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014R_uvotB15.1.dat
SN2014ai,NGC 2832,0.023176,Ia,SN2014ai_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014ai_uvotB15.1.dat
SN2014ao,NGC 2615,0.014083,Ia,SN2014ao_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014ao_uvotB15.1.dat
SN2014ap,MCG +04-27-50,0.023516,Ia,SN2014ap_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014ap_uvotB15.1.dat
SN2014at,NGC 7119B,0.032242,Ia,SN2014at_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014at_uvotB15.1.dat
SN2014ba,NGC 7410,0.005841,Ia-91bg,SN2014ba_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014ba_uvotB15.1.dat
SN2014bv,NGC 4386,0.005594,Ia,SN2014bv_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014bv_uvotB15.1.dat
SN2014cd,NGC 1578,0.020608,Ia,SN2014cd_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014cd_uvotB15.1.dat
SN2014dg,UGC 2855,0.004003,Ia,SN2014dg_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014dg_uvotB15.1.dat
SN2014dt,M61,0.005224,Ia-02cx,SN2014dt_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014dt_uvotB15.1.dat
SN2014eg,ESO 154-G10,0.018633,Ia-91T,SN2014eg_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014eg_uvotB15.1.dat
SN2014ek,UGC 12850,0.023126,Ia-02cx,SN2014ek_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014ek_uvotB15.1.dat
SN2014gd, ,0.018283,Ia,SN2014gd_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2014gd_uvotB15.1.dat
SN2015F,NGC 2442,0.00489,Ia,SN2015F_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2015F_uvotB15.1.dat
SN2015I,NGC 2357,0.0076,Ia,SN2015I_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2015I_uvotB15.1.dat
SN2015M,A130032+2758,0.0231,Ia-91T,SN2015M_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2015M_uvotB15.1.dat
SN2015N,UGC 11797,0.01492,Ia,SN2015N_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2015N_uvotB15.1.dat
SN2015ak,ESO 108-G21,0.01037,Ia,SN2015ak_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2015ak_uvotB15.1.dat
SN2015ar,NGC 383,0.017005,Ia,SN2015ar_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2015ar_uvotB15.1.dat
SN2015bo,NGC 5490,0.016195,Ia-91bg,SN2015bo_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2015bo_uvotB15.1.dat
SN2015bp,NGC 5839,0.004069,Ia-91bg,SN2015bp_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2015bp_uvotB15.1.dat
SN2015bq,PGC 41898,0.028178,Ia-91T,SN2015bq_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2015bq_uvotB15.1.dat
SN2016F,KUG 0136+335,0.016138,Ia,SN2016F_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016F_uvotB15.1.dat
SN2016adi,NGC 5292,0.015,Ia,SN2016adi_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016adi_uvotB15.1.dat
SN2016aix,LCRS B014209.4-420839,0.029,Ia-91T,SN2016aix_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016aix_uvotB15.1.dat
SN2016ajf,NGC 1278,0.0203,Ia-91bg,SN2016ajf_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016ajf_uvotB15.1.dat
SN2016aqt,PGC 4384817,0.05,Ia-SC,SN2016aqt_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016aqt_uvotB15.1.dat
SN2016arc,,,Ia,SN2016arc_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016arc_uvotB15.1.dat
SN2016arc,NGC 1272,0.012725,Ia ,SN2016arc_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016arc_uvotB15.1.dat
SN2016asf,KUG 0647+311,0.021,Ia,SN2016asf_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016asf_uvotB15.1.dat
SN2016bfu,IC 2150,0.0104,Ia-91bg,SN2016bfu_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016bfu_uvotB15.1.dat
SN2016blc,GALEXASC J104848.62-201544.1,0.012,Ia,SN2016blc_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016blc_uvotB15.1.dat
SN2016blk, ,0.02997,Iapec,SN2016blk_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016blk_uvotB15.1.dat
SN2016bln,NGC 5221,0.0235,Ia-91T/99aa,SN2016bln_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016bln_uvotB15.1.dat
SN2016bqs,CGCG 077-110,0.032916,Ia,SN2016bqs_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016bqs_uvotB15.1.dat
SN2016ccj,SDSS J171023.62+262350.3,0.041,Ia-SC,SN2016ccj_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016ccj_uvotB15.1.dat
SN2016ccz,MRK 685,0.015,Ia,SN2016ccz_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016ccz_uvotB15.1.dat
SN2016cnx, ,0.029444,Ia,SN2016cnx_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016cnx_uvotB15.1.dat
SN2016coj,NGC 4125,0.004483,Ia,SN2016coj_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016coj_uvotB15.1.dat
SN2016daj,MCG +03-06-31,0.032,Ia,SN2016daj_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016daj_uvotB15.1.dat
SN2016dxv, ,0.02,Ia,SN2016dxv_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016dxv_uvotB15.1.dat
SN2016eii,ESO 54-IG2,0.036,Ia,SN2016eii_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016eii_uvotB15.1.dat
SN2016eiy,ESO 509-IG64,0.008663,Ia,SN2016eiy_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016eiy_uvotB15.1.dat
SN2016eja,2MASX J22253147+3859010,0.04,Ia,SN2016eja_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016eja_uvotB15.1.dat
SN2016ekg,ESO 466-G32,0.017,Ia,SN2016ekg_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016ekg_uvotB15.1.dat
SN2016ekt, ,0.017,Ia,SN2016ekt_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016ekt_uvotB15.1.dat
SN2016eoa,NGC 83,0.020771,Ia,SN2016eoa_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016eoa_uvotB15.1.dat
SN2016euj,ESO 479-G7,0.017,Ia,SN2016euj_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016euj_uvotB15.1.dat
SN2016fej,NGC 6942,0.010914,Ia,SN2016fej_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016fej_uvotB15.1.dat
SN2016ffh,,0.018,Ia,SN2016ffh_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016ffh_uvotB25.0.dat
SN2016gfr,PGC 1693718,0.014,Ia,SN2016gfr_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016gfr_uvotB15.1.dat
SN2016gsb,ESO 555-G29,0.0097,Ia,SN2016gsb_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016gsb_uvotB15.1.dat
SN2016gxp,NGC 51,0.0186,Ia-pec,SN2016gxp_uvotB20.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016gxp_uvotB20.0.dat
SN2016hnk,,0.016,Ia,SN2016hnk_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016hnk_uvotB15.1.dat
SN2016ipf,,0.021,Ia,SN2016ipf_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2016ipf_uvotB25.0.dat
SN2017awz,,0.022,Ia-91T-like,SN2017awz_uvotB21.4.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2017awz_uvotB21.4.dat
SN2017cbv,,0.003999,Ia,SN2017cbv_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2017cbv_uvotB15.1.dat
SN2017cyy,,0.0098,Ia,SN2017cyy_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2017cyy_uvotB15.1.dat
SN2017erp,,0.006174,Ia,SN2017erp_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2017erp_uvotB15.1.dat
SN2017fgc,,0.008,Ia,SN2017fgc_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2017fgc_uvotB15.1.dat
SN2017fzw,,0.0054,Ia-91bg-like,SN2017fzw_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2017fzw_uvotB15.1.dat
SN2017gah,,0.0089,Ia,SN2017gah_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2017gah_uvotB15.1.dat
SN2017gvp,,0.023,Ia,SN2017gvp_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2017gvp_uvotB25.0.dat
SN2018agk,,0.026128,Ia,SN2018agk_uvotB23.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2018agk_uvotB23.1.dat
SN2018aoz,,0.0058,Ia,SN2018aoz_uvotB22.18.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2018aoz_uvotB22.18.dat
SN2018evt,,0.029,Ia,SN2018evt_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2018evt_uvotB25.0.dat
SN2018gv,,0.0053,Ia,SN2018gv_uvotB22.18.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2018gv_uvotB22.18.dat
SN2018hkx,,0.025,Ia,SN2018hkx_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2018hkx_uvotB25.0.dat
SN2018ilu,,0.03,Ia,SN2018ilu_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2018ilu_uvotB25.0.dat
SN2018isq,,0.007599,Ia,SN2018isq_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2018isq_uvotB15.1.dat
SN2018oh,,0.012,Ia,SN2018oh_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2018oh_uvotB15.1.dat
SN2018xx,,,Ia,SN2018xx_uvotB21.4.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2018xx_uvotB21.4.dat
SN2018yu,,0.008,Ia,SN2018yu_uvotB22.18.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2018yu_uvotB22.18.dat
SN2019arb,,0.013696,Ia,SN2019arb_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2019arb_uvotB25.0.dat
SN2019ein,,0.00775,Ia,SN2019ein_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2019ein_uvotB25.0.dat
SN2019gbx,,0.013,Ia,SN2019gbx_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2019gbx_uvotB25.0.dat
SN2019np,,0.00452,Ia,SN2019np_uvotB22.19.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2019np_uvotB22.19.dat
SN2019yvq,,0.009,Ia,SN2019yvq_uvotB23.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2019yvq_uvotB23.1.dat
SN2020hvf,,0.005838,Ia,SN2020hvf_uvotB15.1.dat.nosub,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2020hvf_uvotB15.1.dat.nosub
SN2020jgl,,0.006758,Ia,SN2020jgl_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2020jgl_uvotB15.1.dat
SN2020nlb,,,Ia,SN2020nlb_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2020nlb_uvotB25.0.dat
SN2020nvb,,0.002939,Ia,SN2020nvb_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2020nvb_uvotB25.0.dat
SN2020pst,,0.046,Ia,SN2020pst_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2020pst_uvotB15.1.dat
SN2020szr,,0.02581,Ia,SN2020szr_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2020szr_uvotB25.0.dat
SN2020tkp,,0.035,Ia,SN2020tkp_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2020tkp_uvotB15.1.dat
SN2020uxz,,0.008246,Ia,SN2020uxz_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2020uxz_uvotB15.1.dat
SN2021aefx,,0.005,Ia,SN2021aefx_uvotB23.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2021aefx_uvotB23.1.dat
SN2021fxy,,0.0094,Ia,SN2021fxy_uvotB21.4.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2021fxy_uvotB21.4.dat
SN2021ghc,,0.046217,Ia,SN2021ghc_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2021ghc_uvotB15.1.dat
SN2021hpr,,0.009346,Ia,SN2021hpr_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2021hpr_uvotB25.0.dat
SN2021jad,,0.0055,Ia,SN2021jad_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2021jad_uvotB25.0.dat
SN2021mim,,0.03812,Ia,SN2021mim_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2021mim_uvotB15.1.dat
SN2021pit,,0.003898,Ia,SN2021pit_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2021pit_uvotB25.0.dat
SN2021zny,,0.0266,Ia-SC,SN2021zny_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2021zny_uvotB25.0.dat
SN2022hrs,,0.0047,Ia,SN2022hrs_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2022hrs_uvotB15.1.dat
SN2022idx,,0.0141,Ia-91T-like,SN2022idx_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2022idx_uvotB15.1.dat
SN2022ihz,,0.006,Ia-91bg-like,SN2022ihz_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2022ihz_uvotB15.1.dat
SN2022ilv,,0.031,Ia-SC,SN2022ilv_uvotB22.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2022ilv_uvotB22.1.dat
SN2022vqz,,0.016995,Ia-pec,SN2022vqz_uvotB22.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2022vqz_uvotB22.1.dat
SN2022ywf,,0.0078,Ia,SN2022ywf_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2022ywf_uvotB15.1.dat
SN2023bee,,0.006698,Ia,SN2023bee_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2023bee_uvotB25.0.dat
SNF20080514002, ,0.0221,Ia,SNF20080514002_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SNF20080514002_uvotB15.1.dat
SNF20080720001, ,0.021,Ia,SNF20080720001_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SNF20080720001_uvotB15.1.dat
iPTF13asv,,,Ia,iPTF13asv_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/iPTF13asv_uvotB15.1.dat
iPTF13dge,NGC 1762,0.015854,Ia,iPTF13dge_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/iPTF13dge_uvotB15.1.dat
iPTF13ebh, ,0.013269,Ia,iPTF13ebh_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/iPTF13ebh_uvotB15.1.dat
iPTF14atg, ,0.021405,Ia,iPTF14atg_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/iPTF14atg_uvotB15.1.dat
iPTF14bdn,UGC 8503,0.01588,Ia-99aa,iPTF14bdn_uvotB23.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/iPTF14bdn_uvotB23.1.dat
