-20.0 2000.00 1.943531582807581e-05
-20.0 2010.00 1.860334681777382e-05
-20.0 2020.00 1.740388445397114e-05
-20.0 2030.00 1.672000856359955e-05
-20.0 2040.00 1.776807172309438e-05
-20.0 2050.00 2.194972142273247e-05
-20.0 2060.00 3.064383938374270e-05
-20.0 2070.00 4.496634322773687e-05
-20.0 2080.00 6.556029284816877e-05
-20.0 2090.00 9.249388557343306e-05
-20.0 2100.00 1.504278338944201e-05
-20.0 2110.00 1.452918523005827e-05
-20.0 2120.00 1.370529310620317e-05
-20.0 2130.00 1.298544506910442e-05
-20.0 2140.00 1.300434091477557e-05
-20.0 2150.00 1.459720104277040e-05
-20.0 2160.00 1.872751061394066e-05
-20.0 2170.00 2.635269110034458e-05
-20.0 2180.00 3.824821671429802e-05
-20.0 2190.00 5.484276726512450e-05
-20.0 2200.00 1.703203535551121e-05
-20.0 2210.00 1.664166079201488e-05
-20.0 2220.00 1.598086673942552e-05
-20.0 2230.00 1.530465783042841e-05
-20.0 2240.00 1.502736665060049e-05
-20.0 2250.00 1.573286793790962e-05
-20.0 2260.00 1.814830288148361e-05
-20.0 2270.00 2.306482514235624e-05
-20.0 2280.00 3.120892656095366e-05
-20.0 2290.00 4.309497994000163e-05
-20.0 2300.00 2.017104976037622e-05
-20.0 2310.00 1.982544268255925e-05
-20.0 2320.00 1.922334159148134e-05
-20.0 2330.00 1.854302270580794e-05
-20.0 2340.00 1.805085764576297e-05
-20.0 2350.00 1.809151143534195e-05
-20.0 2360.00 1.906139038101095e-05
-20.0 2370.00 2.135958850535045e-05
-20.0 2380.00 2.531976350565412e-05
-20.0 2390.00 3.113925838806720e-05
-20.0 2400.00 2.145723332426022e-05
-20.0 2410.00 2.096043350633405e-05
-20.0 2420.00 2.009986649921049e-05
-20.0 2430.00 1.911095521428137e-05
-20.0 2440.00 1.828147239719335e-05
-20.0 2450.00 1.789814033617436e-05
-20.0 2460.00 1.820195301104967e-05
-20.0 2470.00 1.935695061210070e-05
-20.0 2480.00 2.143260417002679e-05
